jobid,suffix,AE_mean_99,SE_mean_99,R2_mean_99,AE_mean_27,SE_mean_27,R2_mean_27,n_rows,n_rows_27,filename
250916025,smooth,0.038966584261920824,0.0052905521720184616,0.8096484682021143,0.0553945188734184,0.007259157809414403,0.8115033715102361,99,27,recon_metrics_250916025_smooth.csv
250916025,valid,0.03910284487137443,0.00537382097270025,0.8175649658231834,0.05266232098765028,0.007121663154300567,0.8072209965608267,99,27,recon_metrics_250916025_valid.csv
250916026,smooth,0.03315520521208449,0.003899049551243996,0.8600588069329066,0.042199156038613274,0.004618230306852518,0.8783683846419358,99,27,recon_metrics_250916026_smooth.csv
250916026,valid,0.044507547127371976,0.011665879242466573,0.8071564056278528,0.03590170855059954,0.003920812181527026,0.8911767305925038,99,27,recon_metrics_250916026_valid.csv
250916027,smooth,0.032123844412937294,0.003618589473212029,0.8723571109927873,0.04097413740594999,0.004406800762631915,0.8860013328747824,99,27,recon_metrics_250916027_smooth.csv
250916027,valid,0.022105415320825765,0.0017926305453336993,0.9372248574842832,0.02593188299262674,0.0018601120670417035,0.9457006571983634,99,27,recon_metrics_250916027_valid.csv
250916028,smooth,0.020376211421584533,0.0015178364455555868,0.9438014046857569,0.026505815305820427,0.0017300351239301001,0.9510155493982828,99,27,recon_metrics_250916028_smooth.csv
250916028,valid,0.019204509119554885,0.0013308043073619739,0.9532242425042513,0.02277876785543353,0.0012660040800716258,0.9622289710826898,99,27,recon_metrics_250916028_valid.csv
250916029,smooth,0.019397724722857296,0.0013654675090217544,0.9486800648156407,0.024461542203150003,0.0013950468945431557,0.9595238151747587,99,27,recon_metrics_250916029_smooth.csv
250916029,valid,0.019936829069952006,0.0015032330616259644,0.9539066482183916,0.022733237533770087,0.0012586298973025075,0.9630522117800221,99,27,recon_metrics_250916029_valid.csv
250916030,smooth,0.018860799527615334,0.0012965717220700843,0.9518956883935334,0.023379237241820547,0.001296914914876526,0.9623761296701976,99,27,recon_metrics_250916030_smooth.csv
250916030,valid,0.01812530475986133,0.0012293939438771917,0.9572441478121526,0.021275247927628294,0.0010893555710139741,0.967588405930717,99,27,recon_metrics_250916030_valid.csv
250916031,smooth,0.01909300402363272,0.0013672057420418776,0.9490191644497376,0.023649604792406013,0.0014103632014151556,0.9582581002334604,99,27,recon_metrics_250916031_smooth.csv
250916031,valid,0.01857731424803337,0.0013084590691524647,0.95358172307336,0.022026983262478133,0.0012214998496983922,0.9636629051189507,99,27,recon_metrics_250916031_valid.csv
250916032,smooth,0.02170540498691268,0.001784371654945213,0.930195684472516,0.02647897448349214,0.0019774464978816555,0.9456171795908477,99,27,recon_metrics_250916032_smooth.csv
250916032,valid,0.018579821701384298,0.0012544424519540494,0.9575844579869345,0.02180585299904012,0.0011422291656540335,0.966130061554889,99,27,recon_metrics_250916032_valid.csv
250916033,smooth,0.05047310898292316,0.008857655991380298,0.7044974031202718,0.08218406999426772,0.015790997278004353,0.6012183719497307,99,27,recon_metrics_250916033_smooth.csv
250916033,valid,0.021523433476066455,0.0017866022693373504,0.9482520183013023,0.02364421996931438,0.0013772506608557408,0.9593140401796234,99,27,recon_metrics_250916033_valid.csv
250916034,smooth,0.020955236274066816,0.0016492763241230909,0.9392750366393202,0.025386348195584513,0.0017183386085086777,0.9503717644786692,99,27,recon_metrics_250916034_smooth.csv
250916034,valid,0.02266951968100715,0.001975241584463688,0.9305166896379884,0.02563553076857667,0.0019384304203144407,0.9435573947524161,99,27,recon_metrics_250916034_valid.csv
250916035,smooth,0.020576124201346094,0.001590630166031419,0.9415585528404192,0.0250290562937004,0.0016763630042198779,0.9516896155760298,99,27,recon_metrics_250916035_smooth.csv
250916035,valid,0.024030338073743256,0.0021198551469450715,0.9256326391286575,0.027257085489508562,0.002158079805189341,0.940044783636864,99,27,recon_metrics_250916035_valid.csv
250916036,smooth,0.019229742928487926,0.0014283535178723755,0.9477040202669982,0.023495726861785176,0.0014375878372891297,0.9578366025227179,99,27,recon_metrics_250916036_smooth.csv
250916036,valid,0.018394467549194302,0.0012761886789219301,0.9526790468234487,0.021932060159600895,0.001201153936247285,0.9638497808850389,99,27,recon_metrics_250916036_valid.csv
