jobid,suffix,AE_mean_99,SE_mean_99,R2_mean_99,AE_mean_27,SE_mean_27,R2_mean_27,n_rows,n_rows_27,filename
250911041,smooth,0.041786078006757876,0.005950479619460146,0.7752891751054541,0.05573330220925016,0.007740790602556833,0.8032598170756693,99,27,recon_metrics_250911041_smooth.csv
250911041,valid,0.039976517527334436,0.005542862146211408,0.7892869041224677,0.05498586128821587,0.007669959574611088,0.8094734262223504,99,27,recon_metrics_250911041_valid.csv
250911042,smooth,0.02401014825068719,0.0021470851266370866,0.9076258710427362,0.03175575181639672,0.0025813941888272896,0.9297989713167937,99,27,recon_metrics_250911042_smooth.csv
250911042,valid,0.023720091472540093,0.0021760470413517865,0.9056557124831855,0.030928151393219052,0.0025748109191470587,0.9289240677921492,99,27,recon_metrics_250911042_valid.csv
250911043,smooth,0.022418145202081304,0.0018302037529870988,0.9174438959368444,0.030220488681503198,0.0022139428106936073,0.9392800825583163,99,27,recon_metrics_250911043_smooth.csv
250911043,valid,0.020373748352206258,0.001523851175114266,0.9300104153689445,0.02690670616840048,0.0017461395270909892,0.9515437201896225,99,27,recon_metrics_250911043_valid.csv
250911044,smooth,0.019626647037633685,0.00140102787818311,0.950240755548411,0.025994389150555488,0.001603542703465837,0.9547387441742141,99,27,recon_metrics_250911044_smooth.csv
250911044,valid,0.019577926947006954,0.001408110607353892,0.9515171151495123,0.02588126265067969,0.001610787202595704,0.9532836952500128,99,27,recon_metrics_250911044_valid.csv
250911045,smooth,0.018968907334959827,0.0013085240635875978,0.9539602987767974,0.024493643484151426,0.0013834345933579223,0.9602437316514385,99,27,recon_metrics_250911045_smooth.csv
250911045,valid,0.018644525561006695,0.0012764354431698001,0.9554093328516627,0.023351226683572566,0.001265046449459693,0.9626704127276993,99,27,recon_metrics_250911045_valid.csv
250911046,smooth,0.018862270592223646,0.0012925222964466456,0.9567438296065262,0.024371532592298368,0.0014231422084176148,0.9591229742884695,99,27,recon_metrics_250911046_smooth.csv
250911046,valid,0.01800206006354972,0.0011760173365860313,0.9612630526381041,0.022335397091283456,0.0011469910526706963,0.9664440490384655,99,27,recon_metrics_250911046_valid.csv
250911047,smooth,0.018274140083453176,0.0012129337879079809,0.9601492335140208,0.022664317800189886,0.0011704586483475667,0.9657299793198802,99,27,recon_metrics_250911047_smooth.csv
250911047,valid,0.017856006541647568,0.0011761146603512605,0.9634989743337158,0.02196036544331344,0.0011242385482245704,0.9671845876169299,99,27,recon_metrics_250911047_valid.csv
250911048,smooth,0.01842277910730411,0.001232932962528715,0.9575672577049057,0.02313834705828586,0.0012276921446656374,0.9641271489046974,99,27,recon_metrics_250911048_smooth.csv
250911048,valid,0.01773702987940331,0.001172593050974843,0.9591458179881952,0.021309843599299213,0.0010634681430107592,0.9682747186715358,99,27,recon_metrics_250911048_valid.csv
250911049,smooth,0.018891913639853996,0.0012949951192118999,0.9563112107264908,0.024244333960400506,0.0013705454817945853,0.9607962405024529,99,27,recon_metrics_250911049_smooth.csv
250911049,valid,0.017987153415167583,0.001205897109696005,0.9559666684367961,0.021445203552246172,0.0010739037085561258,0.9675496783748362,99,27,recon_metrics_250911049_valid.csv
250911050,smooth,0.01792116489721067,0.0011819861338794556,0.9599353092506008,0.022053449319413814,0.0011387613901969408,0.9663666210385244,99,27,recon_metrics_250911050_smooth.csv
