jobid,suffix,AE_mean_99,SE_mean_99,R2_mean_99,AE_mean_27,SE_mean_27,R2_mean_27,n_rows,n_rows_27,filename
250916001,smooth,0.054408628911088885,0.010476997562464823,0.6647552375839983,0.08751187477605343,0.018984279244345852,0.4927358035026309,99,27,recon_metrics_250916001_smooth.csv
250916001,valid,0.05121700813534639,0.00955627071388054,0.7110882181837898,0.07981286080441032,0.018335819438135822,0.513792563413567,99,27,recon_metrics_250916001_valid.csv
250916002,smooth,0.05261357384844181,0.009060951913383953,0.7022305913707909,0.08735796794071396,0.01645984299141988,0.5837711731898607,99,27,recon_metrics_250916002_smooth.csv
250916002,valid,0.051135236459937373,0.010011371346856646,0.7041156416593878,0.0808212725499086,0.01908447044849236,0.4846596459703583,99,27,recon_metrics_250916002_valid.csv
250916003,smooth,0.05365118453709096,0.00995310715832176,0.6759067452542293,0.0824414225001821,0.017220106180907083,0.5314028099629867,99,27,recon_metrics_250916003_smooth.csv
250916003,valid,0.051447026294356525,0.009273799963021695,0.7206339697943516,0.07669621230354438,0.016304495278232477,0.5563796757755823,99,27,recon_metrics_250916003_valid.csv
250916004,smooth,0.04661512288840071,0.00793256174215655,0.7523739139567905,0.07261937373219579,0.014234458917206901,0.6098347496636142,99,27,recon_metrics_250916004_smooth.csv
250916004,valid,0.046964056619794955,0.00830756954682412,0.7555179034338542,0.07463959573374213,0.015659936347548857,0.5700055537777503,99,27,recon_metrics_250916004_valid.csv
250916005,smooth,0.04898566369684942,0.008770055454454638,0.7249744259967305,0.07670541049556184,0.015124603823870389,0.5762555402314822,99,27,recon_metrics_250916005_smooth.csv
250916005,valid,0.048869759668798494,0.008339085515065367,0.7502277113498668,0.07225246101464718,0.013599085387665032,0.610435712055808,99,27,recon_metrics_250916005_valid.csv
250916006,smooth,0.04747690528730569,0.008316070718109348,0.7388211444512065,0.07268628966333168,0.013612131902256462,0.6195512824238799,99,27,recon_metrics_250916006_smooth.csv
250916006,valid,0.0499376852717099,0.008532856378560645,0.7396964316845103,0.07351865996628701,0.014286716222496361,0.5938770309311161,99,27,recon_metrics_250916006_valid.csv
250916007,smooth,0.04516883233997691,0.007673148365391477,0.7599167979794933,0.06867143708103642,0.012504291545575473,0.6462888822795174,99,27,recon_metrics_250916007_smooth.csv
250916007,valid,0.0505571089397725,0.009228957837930062,0.7261977043905854,0.07615279416941421,0.014612348878665724,0.5853200971256753,99,27,recon_metrics_250916007_valid.csv
250916008,smooth,0.04695838138358073,0.008130587899952574,0.7410020388959591,0.071004126273791,0.01310688699548539,0.6274567188323482,99,27,recon_metrics_250916008_smooth.csv
250916008,valid,0.04948589010090308,0.008593736134976432,0.7358924281902408,0.07405807196434715,0.014373962851484548,0.5852088886516739,99,27,recon_metrics_250916008_valid.csv
250916009,smooth,0.04697545685047278,0.008070356482863448,0.7447625558148525,0.07267926510600302,0.013614749704110108,0.6137927565799635,99,27,recon_metrics_250916009_smooth.csv
250916009,valid,0.04992278167021509,0.00839267898918825,0.7476669376533843,0.07132502085761795,0.013151943170353595,0.6293870132967001,99,27,recon_metrics_250916009_valid.csv
250916010,smooth,0.04918113830295625,0.008821131802998592,0.7238119611121843,0.0758332119742959,0.014438011622735529,0.5858680590249885,99,27,recon_metrics_250916010_smooth.csv
250916010,valid,0.04869392100648283,0.008360533731400294,0.7444035083126984,0.07309673319566981,0.013859021815965922,0.6065587693318355,99,27,recon_metrics_250916010_valid.csv
250916011,smooth,0.046355363456906155,0.007531104980285423,0.756653348701602,0.07021138339510268,0.012507680946581464,0.6562295505435563,99,27,recon_metrics_250916011_smooth.csv
250916011,valid,0.04742714572533617,0.00784730643806644,0.7599310911613122,0.07140451554785066,0.013319462960767754,0.617263002152253,99,27,recon_metrics_250916011_valid.csv
250916012,smooth,0.04853405135681856,0.008280289860967453,0.7388798647784012,0.07408013541574275,0.013735772018290548,0.6118121224027624,99,27,recon_metrics_250916012_smooth.csv
250916012,valid,0.04982253307631477,0.008567753397724701,0.7379750064765523,0.0733173660907331,0.014011500598706903,0.5940153619632033,99,27,recon_metrics_250916012_valid.csv
