jobid,suffix,AE_mean_99,SE_mean_99,R2_mean_99,AE_mean_27,SE_mean_27,R2_mean_27,n_rows,n_rows_27,filename
250911023,smooth,0.037411025487762456,0.004944625165743189,0.8125003614639077,0.051925315128301765,0.006464041457330775,0.8316828923491059,99,27,recon_metrics_250911023_smooth.csv
250911023,valid,0.04032532589020064,0.005599719469962329,0.7986019742954855,0.05410476065274584,0.006975395970327441,0.8197882723798123,99,27,recon_metrics_250911023_valid.csv
250911024,smooth,0.025505160266119917,0.0025289690643483707,0.8977774366930568,0.03608041411580567,0.0038054784664496226,0.8964432858520871,99,27,recon_metrics_250911024_smooth.csv
250911024,valid,0.02397464043639322,0.0021783419741108812,0.9093409046036904,0.03412110450445675,0.0030749479154279663,0.9146730257926685,99,27,recon_metrics_250911024_valid.csv
250911025,smooth,0.02570410529772028,0.0026218304913088863,0.8929269299953458,0.03773034480365084,0.004317594193474929,0.8888308658493925,99,27,recon_metrics_250911025_smooth.csv
250911025,valid,0.028222783809946975,0.0032418651833592558,0.8903421818213947,0.04123179712626445,0.0051470886431471,0.8696512683996639,99,27,recon_metrics_250911025_valid.csv
250911026,smooth,0.023235806581826883,0.0021001444875316084,0.9203395200810981,0.035527857064836806,0.0036095897526499106,0.9061055759070499,99,27,recon_metrics_250911026_smooth.csv
250911026,valid,0.022366466374019733,0.0019398126140009787,0.9227795088365353,0.03271233897664653,0.0030044283263590704,0.9181947657076683,99,27,recon_metrics_250911026_valid.csv
250911027,smooth,0.028481052252042297,0.0035584135728594646,0.8918565840286584,0.044219112746247465,0.006446084117925616,0.8407133528251974,99,27,recon_metrics_250911027_smooth.csv
250911027,valid,0.04018224727581955,0.008076233099703336,0.7759226187699401,0.06311435124160494,0.01531340032991518,0.6419049619105381,99,27,recon_metrics_250911027_valid.csv
250911028,smooth,0.032808931444113704,0.004763324200393104,0.8530037358529423,0.04215945710497482,0.0056460321156026816,0.8513868198434694,99,27,recon_metrics_250911028_smooth.csv
250911028,valid,0.033204485256459554,0.004729429721218259,0.855918168728494,0.0412168692372236,0.005650264094579149,0.8586733316459694,99,27,recon_metrics_250911028_valid.csv
250911029,smooth,0.028497644775271894,0.0036521856202227057,0.8901343033289215,0.04186782639393871,0.006016400170293871,0.8492033477977471,99,27,recon_metrics_250911029_smooth.csv
