jobid,suffix,AE_mean_99,SE_mean_99,R2_mean_99,AE_mean_27,SE_mean_27,R2_mean_27,n_rows,n_rows_27,filename
250911011,smooth,0.050584727309860855,0.008876115361720859,0.7091237092565165,0.08011887146877864,0.016362326203707464,0.5615635939244045,99,27,recon_metrics_250911011_smooth.csv
250911011,valid,0.05256798768561698,0.009345540662847365,0.6931474838969149,0.08131998918818567,0.0167868789728514,0.5541791970184934,99,27,recon_metrics_250911011_valid.csv
250911012,smooth,0.05557351371331296,0.01196883250384081,0.6215445508341442,0.09024505481866141,0.02436378670917176,0.3822492492516458,99,27,recon_metrics_250911012_smooth.csv
250911012,valid,0.05576183696210002,0.012673467582634898,0.6128489929390054,0.09447851712367829,0.027366409017127034,0.3244993852370835,99,27,recon_metrics_250911012_valid.csv
250911013,smooth,0.035625361511107255,0.005451116658908076,0.8299958565269657,0.053063928653864334,0.00855420976238166,0.7718386872992887,99,27,recon_metrics_250911013_smooth.csv
250911013,valid,0.03339011883159576,0.005166722436921222,0.8411326547294369,0.05303802663505267,0.009757372221814985,0.7435591383196729,99,27,recon_metrics_250911013_valid.csv
250911014,smooth,0.03558527352453336,0.0053453169743859184,0.8344235594167552,0.0513664445817076,0.00862120412049912,0.777035721145321,99,27,recon_metrics_250911014_smooth.csv
250911014,valid,0.03375758500272201,0.004686633428805215,0.8465665365882012,0.046396330263556884,0.005908102772546407,0.8296901179684104,99,27,recon_metrics_250911014_valid.csv
250911015,smooth,0.03216809753123875,0.004235050300472182,0.870593347566459,0.045729347508128945,0.0061849662781428595,0.8354906093516041,99,27,recon_metrics_250911015_smooth.csv
250911015,valid,0.029215382214206304,0.003916198424345478,0.8812688640981587,0.04029352941449611,0.0053062451313089344,0.8594233704708224,99,27,recon_metrics_250911015_valid.csv
250911016,smooth,0.03186995442119998,0.004539522829718632,0.86076389592303,0.042506416444849454,0.005520053577393619,0.8558485081978523,99,27,recon_metrics_250911016_smooth.csv
250911016,valid,0.03276579296184887,0.004244498810536748,0.8601627068610038,0.04222957144972668,0.004790305002498222,0.8649289487657006,99,27,recon_metrics_250911016_valid.csv
250911017,smooth,0.02476577648315713,0.0027161569341756044,0.9153166663677537,0.032119651477361066,0.0032254076468028886,0.9100295495423969,99,27,recon_metrics_250911017_smooth.csv
250911017,valid,0.01897549785281593,0.0014982498890678392,0.9553557536872533,0.02232686040378475,0.0012549047168364336,0.9633832513723497,99,27,recon_metrics_250911017_valid.csv
250911018,smooth,0.02585132482707119,0.0026822951672138763,0.9161960225396583,0.03468636211050786,0.00332209488739997,0.9069230470401181,99,27,recon_metrics_250911018_smooth.csv
250911018,valid,0.026903569725474922,0.0032392548901755483,0.9026895911036895,0.033591461322578474,0.003448486820798544,0.9040841467263142,99,27,recon_metrics_250911018_valid.csv
250911019,smooth,0.019567225930271773,0.001465767636473024,0.9539985661173005,0.027220006931987287,0.002089549795025726,0.9403916045879882,99,27,recon_metrics_250911019_smooth.csv
250911019,valid,0.019535279834578482,0.0014726923583959382,0.952729953629465,0.02651613811915392,0.0020482051067343926,0.9408916546449526,99,27,recon_metrics_250911019_valid.csv
250911020,smooth,0.02736163090396578,0.003246006218104242,0.8944297811628011,0.034014103646936876,0.0032991064913140042,0.9049474274195523,99,27,recon_metrics_250911020_smooth.csv
250911020,valid,0.024834816108074198,0.002593664401244219,0.9175076524187499,0.03032957933383256,0.0025261806845150625,0.92573857260568,99,27,recon_metrics_250911020_valid.csv
250911021,smooth,0.019233997183145973,0.0013907300077850191,0.9576310863305458,0.024617068430786673,0.0015300250956094294,0.9556257713756665,99,27,recon_metrics_250911021_smooth.csv
250911021,valid,0.017125877601138463,0.0010764692490268324,0.9681246826252579,0.02061232448752213,0.0009964760426574481,0.9705588886143355,99,27,recon_metrics_250911021_valid.csv
250911022,smooth,0.020376380997698385,0.0015145475023667315,0.9512613637350896,0.02641882212165851,0.0016927680665633628,0.9509865576998797,99,27,recon_metrics_250911022_smooth.csv
250911022,valid,0.017793260155176824,0.0011630739888072324,0.9654355028255636,0.02163135745536115,0.0010935111933711814,0.9679267021117343,99,27,recon_metrics_250911022_valid.csv
250915001,smooth,0.06711871401139012,0.01432171985135342,0.4821965426126096,0.10550079455729601,0.02285221971697027,0.4348915291397462,99,27,recon_metrics_250915001_smooth.csv
250915001,valid,0.058411589357620204,0.012252406275306315,0.6331188929203203,0.09101743170542942,0.02304417017660418,0.386081777528844,99,27,recon_metrics_250915001_valid.csv
250915002,smooth,0.05823141789430976,0.010845254707883159,0.6393204687575701,0.0951055756181489,0.0190446590029608,0.5203860594372255,99,27,recon_metrics_250915002_smooth.csv
250915002,valid,0.05197382078615109,0.010211727990834068,0.7042195172002103,0.0794908439627022,0.018771169142517002,0.5038647081551757,99,27,recon_metrics_250915002_valid.csv
250915003,smooth,0.05568162276427771,0.009781216938442742,0.6838267093051793,0.09262365129839514,0.017728109366179728,0.5503726374305815,99,27,recon_metrics_250915003_smooth.csv
250915003,valid,0.051890505220224,0.010070540231808736,0.698698392193747,0.08073728670138243,0.017641437257189436,0.5003555710263233,99,27,recon_metrics_250915003_valid.csv
250915004,smooth,0.05441542679388111,0.009521324605255893,0.686631040970145,0.09048490282308033,0.01722183538807712,0.5629525434487954,99,27,recon_metrics_250915004_smooth.csv
250915004,valid,0.049640165554915475,0.00863876972862226,0.7413765296342816,0.0733949664381382,0.0153649720856067,0.5726080910372215,99,27,recon_metrics_250915004_valid.csv
250915005,smooth,0.05520475086866775,0.00966733370733351,0.685036406699864,0.0928552802590835,0.017800839860490237,0.5488542077439001,99,27,recon_metrics_250915005_smooth.csv
250915005,valid,0.05167827911313152,0.007850350141139594,0.7657610053328396,0.06486504435887956,0.011571279957110318,0.6835562645512298,99,27,recon_metrics_250915005_valid.csv
250915006,smooth,0.05255716774578684,0.008837612763317182,0.7153395338956298,0.08666617647495513,0.0160891587867215,0.5899641462988507,99,27,recon_metrics_250915006_smooth.csv
250915006,valid,0.04969786357905787,0.008822086348042605,0.7388211430355712,0.07445021404126041,0.0148017215948085,0.5726997709897338,99,27,recon_metrics_250915006_valid.csv
250915007,smooth,0.8486761410483827,1.172246476977329,-14.985658457778039,1.3743150377922588,1.9356738470134252,-51.980376521598465,99,27,recon_metrics_250915007_smooth.csv
250915007,valid,0.8486761410483827,1.172246476977329,-14.985658457778039,1.3743150377922588,1.9356738470134252,-51.980376521598465,99,27,recon_metrics_250915007_valid.csv
250915008,smooth,0.05377747474198737,0.009430682729649368,0.6891942317348857,0.08956814373776731,0.017133092259618614,0.5652425648333932,99,27,recon_metrics_250915008_smooth.csv
250915008,valid,0.04887625467181796,0.007965316428268325,0.7581292631942167,0.06934346663756323,0.012896022348695624,0.6352546587822244,99,27,recon_metrics_250915008_valid.csv
250915009,smooth,0.05235336848790302,0.009027581713470793,0.7014286028263761,0.08582947545040735,0.016258430740628646,0.5889527703465135,99,27,recon_metrics_250915009_smooth.csv
250915009,valid,0.05387924728878065,0.009583613254755097,0.7291004441697645,0.072533576769145,0.013838612432927845,0.6077106803153559,99,27,recon_metrics_250915009_valid.csv
250915010,smooth,0.053501236431644734,0.009207463075212164,0.7017931751857545,0.08849657866408868,0.016755309008921533,0.5743697881942593,99,27,recon_metrics_250915010_smooth.csv
250915010,valid,0.04780344791701328,0.008168926954358299,0.75133889334747,0.07251098221460352,0.014057138211437835,0.6001007396628986,99,27,recon_metrics_250915010_valid.csv
250915011,smooth,0.05430147158833432,0.009530009148980629,0.6826581045467459,0.08967601523285237,0.017129309575208022,0.5629436767093832,99,27,recon_metrics_250915011_smooth.csv
250915011,valid,0.04691539272488936,0.007719811643744395,0.7668603112000898,0.06922894342325939,0.012775348031130467,0.6335532723755913,99,27,recon_metrics_250915011_valid.csv
250915012,smooth,0.0508203383465441,0.008914292295444918,0.7007010057809051,0.0816129729567163,0.015611993091706699,0.6047068413383733,99,27,recon_metrics_250915012_smooth.csv
250915012,valid,0.04954818575182033,0.008455952487351415,0.7470005902857639,0.071786142244025,0.013482575810311174,0.61502160707207,99,27,recon_metrics_250915012_valid.csv
